internal ID	title	Author ID	comment
W0001	Die Lehre von den Tonempfindungen als physiologische Grundlage für die Theorie der Musik	P0001	
W0002	Über Zeiteinheit in Bezug auf Konsonanz, Harmonie und Tonalität	P0004	
W0003	Über Tonrhythmik und Stimmenführung	P0004	
W0004	Die Natur der Harmonik und der Metrik: zur Theorie der Musik (Hauptmann)	P0007	
W0005	Johannes Gabrieli und sein Zeitalter	P0009	
W0006	Die Lehre von der Harmonik	P0007	
W0007	Quintett in g-moll (Mozart)	P0015	
W0008	erste Sinfonie (Beethoven)	P0016	
W0009	Das Problem des harmonischen Dualismus Ein Beitrag zur Ästhetik der Musik	P0017	
W0010	Neue Zeitschrift für Musik		journal
W0011	Geschichte der Musiktheorie im 9. - 19. Jahrhundert (Riemann)	P0017	
W0012	Katechismus der Musikwissenschaft (Riemann)	P0017	
W0013	Elemente der musikalischen Ästhetik (Riemann)	P0017	
W0014	Die musikalische Akustik als Grundlage... (Capellen) [TEIL 1]	P0006	
W0015	Traité de l'harmonie (Rameau)	P0005	
W0016	Istituzioni harmoniche (Zarlino)	P0010	
W0017	Harmoniesystem in Dualer Entwicklung (A. v. Oettingen 1866)	P0018	
W0018	O. Tiersch 1868	P0002	
W0019	Musikalische Syntaxis (H. Riemann 1873)	P0017	
W0020	Die beiden Tongeschlechter und die neuere Musikalische Theorie (Thürlings 1877)	P0030	
W0021	Hostinský 1879	P0003	
W0022	A. Krisper 1882	P0031	
W0023	Zarlino, Opere I	P0010	
W0024	Geschichte der Ästhetik in Deutschland (Lotze)	P0033	
W0025	Goethes musikalisches Leben (F. Hiller)	P0035	
W0026	Tonpsychologie (Stumpf)	P0019	
W0027	Musikerkalender 1898 (Riemann Article)	P0017	contains a Riemann article vs. Stumpf
W0028	Riemann's dissertation (1973)	P0017	
W0029	Skizze einer neuen Methode der Harmonielehre (Riemann)	P0017	
W0030	Katechismus der Akustik	P0017	
W0031	Die Freiheit oder Unfreiheit der Töne und Intervalle [Capellen] ("Teil 2")	P0006	
W0032	Orgaan van de Vereeniging van Muziek-Onderwijzers		journal
W0033	De leer der tonalen functien in conflict met die der polaire tegenstelling	P0040	
W0034	Handbuch der Harmonielehre (Riemann)	P0017	"H."
W0035	Katechismus des Generalbassspiels (Riemann)	P0017	
W0036	kleine Kompositionslehre (Riemann)	P0017	
W0037	Die Neue Harmonielehre im Streit mit der alten (Weitzmann 61)	P0041	
W0038	Vorlesung über die Geschichte der Harmonie und ihrer Lehre (Weitzmann)	P0041	"welche in den vier ersten Nummern des 51. Bandes der „Neuen Zeitschrift für Musik” (Leipzig bei Kahnt) nachzusehen ist""
W0039	Harmoniesystem (Weitzmann 1860 Preisschrift)	P0041	
W0040	[Selmar Bagge, Kritik in der] Deutschen Musikzeitung No. 30 und 31	P0047	
W0041	C dur-Quartetts (Mozart) "Dissonanz"	P0015	
W0042	Theorie der Tonsetzkunst (G. Weber)	P0014	
W0043	Prometheus-Ouverture (Liszt)	P0046	
W0044	Jupiter-Sinfonie (Mozart)	P0015	
W0045	Eroica (Beethoven)	P0016	
W0046	Die temperirte Stimmung und die chromatische Tonleiter (Kretschmann)	P0048	
W0047	Figaro (Mozart)	P0015	le donne ficcan gli aghi 2c. (Mozart aus Figaro)
W0048	Don Juan (Mozart)	P0015	Kunkel: "Aria: Schmäle, schmäle, lieber Junge"
W0049	Albumblätter zur Emancipation der Quinten (Weitzmann)	P0041	
W0050	Systematische Einleitung in die musikalische Setzkunst nach den Lehrsätzen des Herrn Rameau (d'Alembert, übers. Marpurg)	P0011	
W0051	fünfstimmigen Madrigale (Monteverdi)	P0052	
W0052	Biogr. des Musiciens (Fétis)	P0053	
W0053	Uebungen zum Studium der Harmonie (F. Hiller)	P0035	
W0054	13. Quartett in B dur (Beethoven)	P0016	
W0055	G Moll Sinfonie (Mozart)	P0015	
W0056	Beethoven Sonate op. 26 (Trauermarsch)	P0016	
W0057	h-Moll Messe (Bach)	P0054	
W0058	5. Sinfonie (Beethoven)	P0016	
W0059	9. Sinfonie (Beethoven)	P0016	
W0060	Musikalische Briefe von Dr. Eduard Krüger. Münster, 1870	P0055	
W0061	Ästhetik (Vischer)	P0056	
W0062	„Wider die feurigen Kapellmeister” Aufsatz in: „A. Allg. Ztg.“ Beilage Nro. 6 vom 6. Jan. 1875 (auch abgedruckt in der Allg. Mus. Ztg., 1875, Nro. 6 und 7)		author to be researched
W0063	Komm, holder Lenz (Hadyn)	P0008	
W0064	„Die harmonikale Symbolik des Altertums, Erste Abteilung. Die esoterische Zalenlehre der Pythagoreer in ihrer Beziehung zu älteren griechischen und morgenländischen Quellen, insbesondere zur altsemitisch-hebräischen Ueberlieferung”. Köln, 1868. (A. v. Thimus)	P0063	
W0065	Die Grundzüge der esoterischen Harmonik des Altertums, im Anschlusse an die Schrift des Freiherrn A. v. Thimus über die harmonikale Symbolik des Altertums (Dr. Richard Hasenclever)	P0064	
W0066	Giebel's Zeitschr. f. d. ges. Naturwissenschaften, Bd. XXXII		journal
W0067	Gäa (Zeitschrift, anscheinend)		journal
W0068	Das heraklitische Prinzip und die heutige Naturforschung		? to be researched ; from Thürlings
W0069	Die Zukunft der Musiktheorie (Dualismus oder „Monismus”?) und ihre Einwirkung auf die Praxis (Riemann)	P0017	
W0070	Große Kompositionslehre (Riemann 1902)	P0017	
W0071	Die Unmöglichkeit und Überflüssigkeit der dualistischen Molltheorie Riemanns (Capellen)	P0006	
W0072	Die Abhängigkeitsverhältnisse in der Musik (Capellen)	P0006	
W0073	Studien zur Geschichte der Notenschrift (Riemann)	P0017	
W0074	Kurzgefasste Harmonielehre (Riemann)	P0017	"Kg. H."
W0075	Modulationslehre (Riemann)	P0017	"Mod."
W0076	Akustik (Chladini) [nach Cap.]	P0070	
W0077	Versuch über die musikalische Temperatur (Marpurg)	P0051	DOUBLE
W0078	Capellen Teil 3 "Die Symmetrische Umkehrung"	P0006	
W0079	Eléments de musique théorique et pratique (d'Alembert)	P0011	
W0080	"Wer ist Musikalisch" (Billroth 1898)	P0072	
W0081	Sumer is icomen in		medieval piece of music
W0082	Über eigentümliche bei Natur- und orientalischen Kulturvölkern vorkommende Tonreihen (L. Riemann)	P0074	Not Hugo Riemann…
W0083	Geschichte des Konsonanzbegriffs (Stumpf)	P0019	
W0084	Charakteristik der Tonarten (Henning)	P0077	
W0085	Ich kann's nicht fassen, nicht glauben (Schumann, Lied)	P0043	
W0086	Tannhäuser / Venusberg (Wagner)	P0045	
W0087	Harmonie universelle (Mersenne 1638)	P0022	
W0088	Die alte Musiklehre (Marx 1841)	P0078	
W0089	Exotische Mollmusik (Capellen)	P0006	
W0090	Shogaku shoka (Capellen)	P0006	
W0091	Musiktaschenbuch (Riemann)	P0017	vielleicht = kurzgefasste Harmonielehre
W0092	Lehrbuch der musikalischen Harmonik (Mayrberger)	P0083	
W0093	Harmonielehre (E. F. Richter)	P0080	Identical to W0156 perhaps?
W0094	Neue Schule der Melodik (Riemann)	P0017	"Mel."
W0095	Konsonanz und Dissonanz (Stumpf, Aufsatz)	P0019	
W0096	Abhandlung über Modulation (Rischbieter 1879)	P0084	
W0097	Ein neuer exotischer Musikstil in Sicht? (Capellen)	P0006	
W0098	Die Symmetrische Umkehrung (H. Schröder)	P0071	
W0099	Vorlesungen über die Menschen- und Tierseele (Wundt)	P0086	
W0100	Matthäus Passion (Bach); Choral "O Haupt voll Blut und Wunden"	P0054	
W0101	Wohltemperiertes Klavier - Erstes Präludium (Bach)	P0054	
W0102	Dictionaire de Musique (Rousseau 1782)	P0088	
W0103	Fidelio (Beethoven)	P0016	
W0104	Beethoven Sonate op. 53 ("Waldstein")	P0016	
W0105	Kreisleriana (Schumann)	P0043	
W0106	Huldigungs-Marsch (F. Liszt)	P0046	
W0107	H-Moll Sonate (Liszt)	P0046	
W0108	Sarabande der E moll-Suite, Exercices Op. I, Part. 6 (J.S. Bach)	P0054	
W0109	Klaviersonate Nr. 8 in c-Moll op. 13 (Beethoven)	P0016	
W0110	Naumann Dissertation "Über die verschiedenen Bestimmungen der Tonverhältnisse" etc.	P0090	
