,name,common words,common nouns,vocabulary size
0,KUN1863,"[('Verfasser', 83), ('Töne', 76), ('Accorde', 54), ('Tonart', 53), ('Tonarten', 51), ('Harmoniesystem', 49), ('Weitzmann', 48), ('lassen', 48), ('Dreiklang', 42), ('Ton', 40)]","[('Verfasser', 83), ('Töne', 76), ('Accorde', 54), ('Tonart', 53), ('Tonarten', 51), ('Harmoniesystem', 48), ('Dreiklang', 42), ('Ton', 40), ('Beispiele', 37), ('Tonkunst', 33)]",5193
1,RIE1905,"[('Töne', 38), ('Konsonanz', 30), ('Ton', 28), ('Terz', 26), ('Obertöne', 25), ('g', 25), ('c', 24), ('Prim', 22), ('Sinne', 18), ('Grundton', 16)]","[('Töne', 38), ('Konsonanz', 30), ('Ton', 28), ('Terz', 22), ('Obertöne', 20), ('Sinne', 18), ('Grundton', 16), ('Reihe', 16), ('Dur', 16), ('Tönen', 15)]",2269
2,NAU1858,"[('Töne', 110), ('Terz', 63), ('gr', 58), ('C', 58), ('reinen', 52), ('kl', 50), ('Octave', 48), ('Quinte', 48), ('III', 48), ('D', 43)]","[('Töne', 110), ('Terz', 63), ('Quinte', 46), ('Octave', 43), ('Temperatur', 41), ('Intervalle', 38), ('Schwingungszahlen', 36), ('Bestimmungen', 35), ('Musik', 32), ('Grundton', 29)]",2662
3,HAU1853,"[('Quint', 305), ('Terz', 254), ('Folge', 249), ('Bedeutung', 235), ('Bestimmung', 187), ('Grundton', 171), ('Einheit', 170), ('enthalten', 160), ('Tonart', 149), ('a', 144)]","[('Folge', 249), ('Bedeutung', 235), ('Terz', 233), ('Bestimmung', 187), ('Grundton', 171), ('Einheit', 170), ('Tonart', 149), ('Töne', 136), ('Metrum', 130), ('Ton', 129)]",7511
4,THU1877,"[('c', 49), ('Tonika', 45), ('g', 43), ('Theorie', 29), ('Phonika', 26), ('C', 24), ('Klanges', 24), ('Klänge', 23), ('Klang', 23), ('natürlichen', 22)]","[('Tonika', 36), ('Theorie', 29), ('Klanges', 24), ('Klänge', 23), ('Klang', 23), ('Verwandtschaft', 21), ('Zalen', 20), ('Dissonanz', 18), ('Skala', 17), ('Einheit', 17)]",3279
5,CAP1905,"[('c', 161), ('e', 159), ('a', 143), ('g', 128), ('C', 122), ('Riemann', 104), ('d', 92), ('h', 85), ('f', 82), ('Moll', 62)]","[('Terz', 52), ('Grundton', 51), ('Töne', 47), ('Auffassung', 36), ('Dur', 35), ('Tonika', 34), ('Umkehrung', 33), ('Konsonanz', 33), ('Akkord', 32), ('g', 30)]",4753
6,OET1866,"[('c', 341), ('g', 255), ('e', 230), ('d', 226), ('a', 192), ('Töne', 189), ('f', 182), ('Ton', 145), ('Klänge', 144), ('h', 144)]","[('Töne', 189), ('Ton', 145), ('Klänge', 144), ('Verwandtschaft', 113), ('Systeme', 94), ('Bedeutung', 92), ('Folge', 85), ('System', 77), ('Hauptmann', 73), ('Auflösung', 73)]",6463
7,WEI1860,"[('C', 55), ('Tonart', 47), ('Töne', 46), ('folgenden', 42), ('Quinte', 39), ('dur-', 35), ('Accorde', 34), ('Terze', 33), ('Ton', 31), ('Dreiklang', 31)]","[('Tonart', 47), ('Töne', 46), ('Quinte', 34), ('Accorde', 34), ('Ton', 31), ('Terze', 31), ('Dreiklang', 31), ('Dreiklänge', 24), ('Grundton', 23), ('Dissonanz', 22)]",1788
8,WEI1861,"[('Tonart', 30), ('Herr', 25), ('Schrift', 22), ('Kritiker', 21), ('Töne', 20), ('C', 18), ('h', 17), ('f', 17), ('dur', 17), ('a', 15)]","[('Tonart', 30), ('Herr', 25), ('Schrift', 22), ('Kritiker', 21), ('Töne', 20), ('Quinten', 14), ('Beispiele', 14), ('Theorie', 13), ('Herrn', 12), ('Lehre', 11)]",1677
9,all texts,"[('Töne', 675), ('c', 654), ('e', 562), ('a', 549), ('g', 493), ('Terz', 484), ('C', 459), ('Ton', 451), ('Bedeutung', 420), ('h', 416)]","[('Töne', 675), ('Ton', 450), ('Terz', 446), ('Bedeutung', 420), ('Folge', 410), ('Tonart', 364), ('Grundton', 355), ('Accorde', 289), ('Dissonanz', 272), ('Dreiklang', 249)]",20436
